chromleft	startleft	endleft	chromright	startright	endright	counts	pvalue	qvalue
chr1	150206512	150207518	chr1	150207543	150208722	21	2.935076e-76	8.8e-05
chr1	150549984	150551160	chr1	150551176	150552141	26	4.174276e-89	8.8e-05
chr1	151030254	151030857	chr1	151031302	151032463	7	4.028356e-25	8.8e-05
chr1	151734636	151735691	chr1	151735715	151736999	8	4.708554e-29	8.8e-05
chr1	153929312	153930067	chr1	153930101	153931669	6	8.166859e-23	8.8e-05
chr1	203274301	203275054	chr1	203275692	203276342	7	1.009264e-24	8.8e-05
chr1	215739867	215741621	chr1	215741633	215742143	9	4.39435e-34	8.8e-05
chr1	222761493	222762703	chr1	222762732	222763498	19	4.346123e-73	8.8e-05
chr1	225613916	225615209	chr1	225615225	225616115	8	1.465391e-28	8.8e-05
chr1	226068296	226069694	chr1	226069728	226070326	18	4.936953e-67	8.8e-05
chr1	226495383	226496635	chr1	226496649	226497574	6	2.939587e-24	8.8e-05
chr1	226593450	226594269	chr1	226594812	226595539	6	4.197227e-25	8.8e-05
chr1	228269847	228270951	chr1	228271709	228272797	8	2.132853e-26	8.8e-05
chr1	228592362	228593719	chr1	228593757	228594574	7	4.778271e-27	8.8e-05
chr1	231376334	231377387	chr1	231377399	231379046	30	4.20698e-99	8.8e-05
chr1	231473775	231474543	chr1	231474549	231475827	23	9.576575e-83	8.8e-05
chr1	231555814	231556869	chr1	231556890	231558200	7	8.632637e-26	8.8e-05
chr1	236958162	236959418	chr1	236959434	236960296	7	5.881516e-28	8.8e-05
chr1	244211756	244212377	chr1	244212407	244214230	8	1.805941e-30	8.8e-05
chr1	244816253	244816899	chr1	244816922	244818592	19	3.133465e-68	8.8e-05
chr1	246727441	246727964	chr1	246728936	246729675	6	1.399112e-25	8.8e-05
chr2	9346195	9347147	chr2	9347684	9348521	6	1.35537e-20	8.8e-05
chr2	9563558	9564188	chr2	9564196	9566235	36	2.760466e-123	8.8e-05
chr2	11679580	11680949	chr2	11680990	11681757	8	2.061451e-30	8.8e-05
chr2	20647393	20648381	chr2	20648391	20650459	21	1.767374e-66	8.8e-05
chr2	27255392	27256251	chr2	27256265	27257507	42	5.726393e-136	8.8e-05
chr2	27292697	27294032	chr2	27294046	27295142	8	4.817869e-27	8.8e-05
chr2	28615365	28617255	chr2	28617281	28618300	16	8.323937e-53	8.8e-05
chr2	29091892	29092880	chr2	29092896	29093921	8	7.18655e-27	8.8e-05
chr2	29117342	29118384	chr2	29118403	29119596	7	3.810012e-21	8.8e-05
chr2	37191432	37192826	chr2	37192839	37193495	18	1.056099e-67	8.8e-05
chr2	37456978	37457622	chr2	37458207	37459712	6	6.679066e-18	8.8e-05
chr2	37457647	37458199	chr2	37458207	37459712	24	1.355699e-76	8.8e-05
chr2	42396297	42397202	chr2	42397707	42398351	10	5.626752e-25	8.8e-05
chr2	42397707	42398351	chr2	42399422	42400854	6	1.959503e-14	8.8e-05
chr2	42398764	42399417	chr2	42399422	42400854	10	5.184472e-26	8.8e-05
chr2	42399422	42400854	chr2	42400961	42401440	8	2.301686e-26	8.8e-05
chr2	43019118	43020132	chr2	43020150	43021296	28	5.070969e-90	8.8e-05
chr2	44220725	44222107	chr2	44222352	44222948	9	9.327985e-32	8.8e-05
chr2	46525413	46526431	chr2	46526442	46528349	21	5.956337e-63	8.8e-05
chr2	46926048	46926938	chr2	46926944	46928527	37	4.017471e-121	8.8e-05
chr2	47139919	47141156	chr2	47141214	47143174	9	1.404107e-33	8.8e-05
chr2	48130794	48131706	chr2	48131754	48133305	6	3.90141e-19	8.8e-05
chr2	54195466	54197829	chr2	54197841	54198339	13	2.606186e-45	8.8e-05
chr2	54785170	54785691	chr2	54786757	54788369	6	1.485182e-16	8.8e-05
chr2	54785716	54786748	chr2	54786757	54788369	32	5.596057e-94	8.8e-05
chr2	55645243	55646733	chr2	55646762	55647582	14	4.682736e-50	8.8e-05
chr2	55842894	55844348	chr2	55844354	55844907	55	1.088922e-187	8.8e-05
chr2	60982643	60983827	chr2	60983842	60985506	12	3.95109e-42	8.8e-05
chr2	64751144	64752316	chr2	64752328	64753909	18	8.86725e-56	8.8e-05
chr2	64878719	64879908	chr2	64879915	64881190	11	7.244808e-40	8.8e-05
chr2	70142057	70142777	chr2	70142795	70144100	22	1.764643e-80	8.8e-05
chr2	70314071	70315596	chr2	70315601	70317712	10	1.340131e-33	8.8e-05
chr2	70473892	70475134	chr2	70475166	70476225	8	5.313716e-27	8.8e-05
chr2	71558694	71560047	chr2	71560065	71561133	12	3.386856e-43	8.8e-05
chr2	73612317	73614077	chr2	73614190	73615109	9	5.854881e-37	8.8e-05
chr2	74617097	74617712	chr2	74617819	74619497	7	2.337307e-26	8.8e-05
chr2	78767030	78767803	chr2	78767841	78769288	9	7.442628e-34	8.8e-05
chr2	85132298	85133126	chr2	85133786	85134594	8	6.359285e-27	8.8e-05
chr2	85195992	85196610	chr2	85196685	85198035	14	1.76944e-54	8.8e-05
chr2	85198061	85199123	chr2	85199159	85200171	25	3.300271e-83	8.8e-05
chr2	85552735	85554101	chr2	85554634	85556209	22	2.539332e-65	8.8e-05
chr2	85554121	85554601	chr2	85554634	85556209	12	8.128132e-37	8.8e-05
chr2	88352579	88353510	chr2	88354033	88355846	10	3.242143e-36	8.8e-05
chr2	98261890	98263096	chr2	98263845	98264481	7	2.331716e-25	8.8e-05
chr2	101435712	101436401	chr2	101436468	101438618	7	2.40023e-21	8.8e-05
chr2	101618582	101619168	chr2	101619173	101620608	18	4.826927e-63	8.8e-05
chr2	102313749	102315203	chr2	102315209	102315938	13	1.108322e-33	8.8e-05
chr2	102313749	102315203	chr2	102315961	102316647	14	1.58772e-36	8.8e-05
chr2	102313749	102315203	chr2	102316655	102318389	6	4.224366e-15	8.8e-05
chr2	102315209	102315938	chr2	102316655	102318389	13	2.887339e-36	8.8e-05
chr2	102315961	102316647	chr2	102316655	102318389	12	6.301233e-33	8.8e-05
chr2	102758093	102760172	chr2	102760210	102761268	13	5.500971e-46	8.8e-05
chr2	103351158	103353134	chr2	103353151	103353574	11	1.295635e-38	8.8e-05
chr2	105953856	105955354	chr2	105955414	105956755	13	5.629872e-47	8.8e-05
chr2	106809068	106810143	chr2	106810171	106811081	18	1.706441e-64	8.8e-05
chr2	109402710	109403389	chr2	109403704	109404774	6	1.382165e-21	8.8e-05
chr2	113239030	113240152	chr2	113240162	113241791	14	1.148996e-48	8.8e-05
chr2	113521088	113521990	chr2	113522010	113523329	13	4.999626e-45	8.8e-05
chr2	114647882	114648759	chr2	114648793	114650044	10	1.289302e-33	8.8e-05
chr2	118769785	118771431	chr2	118771463	118771860	12	2.139542e-44	8.8e-05
chr2	120124535	120125804	chr2	120126196	120126791	6	1.128644e-23	8.8e-05
chr2	120436393	120437619	chr2	120437639	120438965	6	6.204887e-23	8.8e-05
chr2	121009832	121011239	chr2	121011262	121012065	11	1.696684e-39	8.8e-05
chr2	122405331	122406710	chr2	122406726	122407402	13	1.451107e-43	8.8e-05
chr2	122492408	122493120	chr2	122493211	122494945	7	1.566126e-26	8.8e-05
chr2	128049926	128051298	chr2	128051319	128052041	10	1.888857e-37	8.8e-05
chr2	135676304	135678145	chr2	135678157	135679004	15	6.503572e-54	8.8e-05
chr2	136498986	136499738	chr2	136499770	136500996	6	6.715753e-21	8.8e-05
chr2	148602005	148602908	chr2	148603242	148604827	14	1.756785e-46	8.8e-05
chr2	148603242	148604827	chr2	148604975	148605724	7	7.154085e-27	8.8e-05
chr2	148778444	148778800	chr2	148779496	148781167	7	1.934166e-22	8.8e-05
chr2	148778808	148779482	chr2	148779496	148781167	15	3.636666e-50	8.8e-05
chr2	153572042	153573343	chr2	153573757	153574143	10	5.023927e-36	8.8e-05
chr2	161346653	161348101	chr2	161348120	161348771	9	4.378201e-34	8.8e-05
chr2	163174462	163175007	chr2	163175045	163176578	7	3.083769e-25	8.8e-05
chr2	165696960	165698386	chr2	165698411	165699782	7	3.954768e-24	8.8e-05
chr2	170440612	170441779	chr2	170442045	170443324	9	1.518667e-31	8.8e-05
chr2	171568808	171569510	chr2	171570299	171571230	7	1.667988e-23	8.8e-05
chr2	172016709	172017103	chr2	172017124	172018923	13	1.480332e-45	8.8e-05
chr2	172749260	172750274	chr2	172750322	172751370	11	7.756024e-43	8.8e-05
chr2	178125923	178127661	chr2	178127672	178127975	8	1.02831e-26	8.8e-05
chr2	178125923	178127661	chr2	178127981	178128352	10	8.180504e-32	8.8e-05
chr2	178257165	178258072	chr2	178258095	178259582	20	9.814389e-66	8.8e-05
chr2	179341687	179343101	chr2	179343122	179343713	8	1.145288e-30	8.8e-05
chr2	182755417	182757006	chr2	182757025	182757826	10	1.453954e-37	8.8e-05
chr2	191513684	191514827	chr2	191514854	191515870	13	1.799564e-44	8.8e-05
chr2	197662403	197662604	chr2	197663612	197664478	6	1.29738e-25	8.8e-05
chr2	198297471	198299234	chr2	198299237	198299942	16	1.518953e-48	8.8e-05
chr2	198318531	198319366	chr2	198319382	198320563	15	1.495015e-55	8.8e-05
chr2	198380157	198381018	chr2	198381036	198382549	20	6.170603e-74	8.8e-05
chr2	198569788	198570540	chr2	198570992	198572201	6	1.246677e-21	8.8e-05
chr2	201170584	201172157	chr2	201172166	201173730	15	1.565616e-52	8.8e-05
chr2	201390194	201391675	chr2	201391699	201393084	13	3.896216e-51	8.8e-05
chr2	201934338	201935156	chr2	201936150	201936566	6	3.973574e-20	8.8e-05
chr2	203131204	203132501	chr2	203132538	203133313	15	6.254052e-51	8.8e-05
chr2	204397802	204398517	chr2	204398557	204400628	10	1.7894e-34	8.8e-05
chr2	208394662	208396084	chr2	208396103	208396813	8	3.163638e-29	8.8e-05
chr2	209130551	209132443	chr2	209132647	209133360	7	2.138653e-24	8.8e-05
chr2	216298839	216299705	chr2	216299709	216300978	42	1.451193e-137	8.8e-05
chr2	216945099	216946118	chr2	216946141	216947240	9	1.147419e-31	8.8e-05
chr2	219080694	219082028	chr2	219082641	219084075	7	9.615899e-22	8.8e-05
chr2	219082045	219082629	chr2	219082641	219084075	18	1.227964e-59	8.8e-05
chr2	220092244	220093406	chr2	220093899	220094344	7	7.737491e-26	8.8e-05
chr2	220109358	220110498	chr2	220110522	220111512	22	1.223622e-80	8.8e-05
chr2	220363402	220364750	chr2	220364813	220365577	9	3.065128e-35	8.8e-05
chr2	223725090	223726380	chr2	223726415	223727585	16	2.504033e-52	8.8e-05
chr2	224808043	224809566	chr2	224809582	224810270	40	1.340454e-133	8.8e-05
chr2	225448148	225449212	chr2	225449227	225450228	9	3.084366e-31	8.8e-05
chr2	228189254	228190198	chr2	228190611	228192205	11	3.150963e-37	8.8e-05
chr2	228190205	228190592	chr2	228190611	228192205	20	3.189954e-70	8.8e-05
chr2	231921245	231923164	chr2	231923292	231924120	11	1.180683e-42	8.8e-05
chr2	233741210	233742661	chr2	233742700	233743246	10	2.047216e-39	8.8e-05
chr2	234761444	234763016	chr2	234763020	234763493	18	7.758123e-66	8.8e-05
chr2	237994258	237994769	chr2	237995036	237996291	12	2.164096e-44	8.8e-05
chr2	238875909	238876560	chr2	238876574	238878113	18	1.824094e-60	8.8e-05
chr2	240962784	240964020	chr2	240964553	240965015	9	2.869054e-28	8.8e-05
chr3	5163408	5164176	chr3	5164212	5165473	8	2.949909e-30	8.8e-05
chr3	10289693	10290900	chr3	10290916	10292436	28	3.324691e-108	8.8e-05
chr3	11886777	11887939	chr3	11887958	11888988	6	2.885575e-21	8.8e-05
chr3	14164049	14164789	chr3	14165300	14166098	8	4.551029e-32	8.8e-05
chr3	15468954	15469954	chr3	15469989	15470960	10	4.226359e-38	8.8e-05
chr3	23846474	23848704	chr3	23848819	23849556	7	4.038407e-28	8.8e-05
chr3	32857848	32858752	chr3	32858762	32860139	10	2.81014e-34	8.8e-05
chr3	32858762	32860139	chr3	32860146	32861103	13	2.492528e-40	8.8e-05
chr3	32860146	32861103	chr3	32861114	32862305	9	3.690165e-27	8.8e-05
chr3	32861114	32862305	chr3	32863842	32865334	6	2.327952e-17	8.8e-05
chr3	32863164	32863806	chr3	32863842	32865334	15	6.981875e-51	8.8e-05
chr3	37032675	37033608	chr3	37033622	37034737	16	1.430964e-60	8.8e-05
chr3	43327648	43328932	chr3	43328965	43329804	18	2.006167e-63	8.8e-05
chr3	43327648	43328932	chr3	43329840	43330291	6	1.149947e-20	8.8e-05
chr3	48128558	48129516	chr3	48130134	48130724	6	3.643642e-21	8.8e-05
chr3	50307642	50308326	chr3	50308385	50309720	8	4.054946e-29	8.8e-05
chr3	53194402	53195404	chr3	53195420	53196618	6	2.308356e-24	8.8e-05
chr3	53287914	53289121	chr3	53289832	53290409	9	1.190788e-33	8.8e-05
chr3	57541636	57542735	chr3	57542754	57544221	24	2.909691e-90	8.8e-05
chr3	57993981	57995038	chr3	57995785	57996654	9	1.41404e-33	8.8e-05
chr3	66549075	66549698	chr3	66550294	66551720	6	1.896555e-21	8.8e-05
chr3	66549716	66550282	chr3	66550294	66551720	16	4.355341e-61	8.8e-05
chr3	99592349	99593407	chr3	99594058	99594390	6	3.283035e-19	8.8e-05
chr3	101292013	101293491	chr3	101293530	101294485	6	2.939587e-24	8.8e-05
chr3	119180643	119182253	chr3	119182269	119183282	18	7.447185e-68	8.8e-05
chr3	120461467	120462744	chr3	120462778	120463504	9	9.320926e-38	8.8e-05
chr3	121263674	121264563	chr3	121264580	121265758	6	5.026574e-22	8.8e-05
chr3	122785589	122786747	chr3	122786775	122788335	22	5.448568e-84	8.8e-05
chr3	122920031	122921153	chr3	122921175	122922411	6	2.096679e-28	8.8e-05
chr3	124773045	124774373	chr3	124774390	124775573	18	5.108352e-68	8.8e-05
chr3	125092237	125093143	chr3	125093163	125094399	6	3.726938e-22	8.8e-05
chr3	129373941	129374650	chr3	129374721	129376083	7	2.548493e-27	8.8e-05
chr3	132378654	132379385	chr3	132379397	132380665	7	3.517247e-26	8.8e-05
chr3	133379333	133380603	chr3	133380612	133381616	13	3.919522e-52	8.8e-05
chr3	139062705	139063577	chr3	139064268	139064852	7	1.841967e-27	8.8e-05
chr3	148937778	148938755	chr3	148938771	148939898	12	2.111834e-50	8.8e-05
chr3	149373268	149374553	chr3	149375487	149376520	6	2.837682e-19	8.8e-05
chr3	150262028	150263471	chr3	150263495	150264141	7	3.74105e-26	8.8e-05
chr3	152879567	152880736	chr3	152880802	152881913	8	4.952934e-28	8.8e-05
chr3	155570074	155570913	chr3	155571464	155572277	6	1.869924e-21	8.8e-05
chr3	155589094	155589705	chr3	155589739	155591294	9	1.618276e-33	8.8e-05
chr3	179064983	179065745	chr3	179065757	179066988	10	1.433151e-42	8.8e-05
chr3	180629800	180631291	chr3	180631318	180632336	22	5.822104e-78	8.8e-05
chr3	183873400	183874975	chr3	183874991	183875842	14	1.680622e-52	8.8e-05
chr3	184032068	184033610	chr3	184033640	184034609	16	3.959899e-58	8.8e-05
chr3	184428296	184429492	chr3	184429519	184430648	10	3.239823e-39	8.8e-05
chr3	197023471	197024381	chr3	197024404	197025720	12	7.319485e-46	8.8e-05
chr3	197476305	197477238	chr3	197477263	197478414	7	4.551665e-26	8.8e-05
chr4	773103	774068	chr4	775181	775826	6	3.712411e-23	8.8e-05
chr4	924459	925578	chr4	925598	926998	19	4.463239e-72	8.8e-05
chr4	1794275	1795435	chr4	1795900	1796594	10	2.013845e-32	8.8e-05
chr4	1795446	1795882	chr4	1796603	1797875	6	1.05392e-19	8.8e-05
chr4	3076096	3076601	chr4	3076653	3078205	6	2.098728e-26	8.8e-05
chr4	6717126	6718695	chr4	6718762	6719463	8	5.162902e-32	8.8e-05
chr4	15655094	15655811	chr4	15655907	15657290	9	2.004265e-37	8.8e-05
chr4	18021198	18022182	chr4	18022223	18023599	7	3.203702e-29	8.8e-05
chr4	25378461	25379311	chr4	25379833	25380846	8	7.428894e-30	8.8e-05
chr4	38869123	38870695	chr4	38870814	38871677	6	5.870566e-27	8.8e-05
chr4	39458199	39458885	chr4	39459913	39460675	6	3.440881e-23	8.8e-05
chr4	39637949	39639502	chr4	39639520	39640608	13	3.546014e-51	8.8e-05
chr4	41992114	41993264	chr4	41993307	41994305	21	6.319637e-78	8.8e-05
chr4	52709165	52710098	chr4	52710707	52711428	10	6.138321e-37	8.8e-05
chr4	57773937	57775202	chr4	57775213	57776662	22	1.338616e-90	8.8e-05
chr4	75022618	75024416	chr4	75024442	75025038	6	2.708801e-25	8.8e-05
chr4	77995361	77996238	chr4	77996255	77997389	10	2.529046e-39	8.8e-05
chr4	83348460	83349979	chr4	83349989	83350680	10	3.480478e-42	8.8e-05
chr4	95373702	95374232	chr4	95374312	95375793	9	1.107233e-35	8.8e-05
chr4	109541209	109542733	chr4	109542768	109543577	10	4.451117e-42	8.8e-05
chr4	110736005	110737206	chr4	110737227	110738582	12	2.463829e-50	8.8e-05
chr4	114681046	114681993	chr4	114682007	114683261	11	3.810955e-39	8.8e-05
chr4	119606162	119607240	chr4	119607268	119608194	6	5.870566e-27	8.8e-05
chr4	123073068	123073690	chr4	123073702	123075518	16	9.86724e-68	8.8e-05
chr4	124319746	124320350	chr4	124320925	124321809	7	3.632032e-24	8.8e-05
chr4	129206588	129208393	chr4	129208400	129209138	24	5.835728e-92	8.8e-05
chr4	146857439	146858386	chr4	146859127	146859753	6	6.701926e-22	8.8e-05
chr4	153455238	153456407	chr4	153456436	153457310	6	3.351174e-22	8.8e-05
chr4	164085503	164086328	chr4	164086418	164087733	9	1.823783e-36	8.8e-05
chr4	170189395	170190962	chr4	170191028	170191671	7	1.802098e-29	8.8e-05
chr5	6713477	6714430	chr5	6714471	6715716	8	6.359285e-27	8.8e-05
chr5	14143815	14145045	chr5	14145087	14146198	8	2.949402e-29	8.8e-05
chr5	40832979	40834079	chr5	40834634	40836210	8	2.949402e-29	8.8e-05
chr5	43121473	43123007	chr5	43123203	43123694	6	2.096679e-28	8.8e-05
chr5	55288351	55289185	chr5	55290141	55291275	6	1.144557e-20	8.8e-05
chr5	56469569	56470687	chr5	56471420	56472260	8	2.239368e-26	8.8e-05
chr5	65221601	65223196	chr5	65223212	65224034	24	7.083774e-89	8.8e-05
chr5	68710549	68712261	chr5	68712404	68713086	6	1.399112e-25	8.8e-05
chr5	73934817	73936224	chr5	73936243	73936983	7	4.370371e-27	8.8e-05
chr5	98368387	98368831	chr5	98368933	98370415	7	1.848435e-32	8.8e-05
chr5	110427617	110428522	chr5	110428537	110429628	6	9.686102e-26	8.8e-05
chr5	131130743	131132397	chr5	131132400	131132984	31	3.159267e-122	8.8e-05
chr5	134367820	134369089	chr5	134369129	134370422	12	1.202316e-44	8.8e-05
chr5	137087617	137088665	chr5	137089436	137090316	8	1.571334e-27	8.8e-05
chr5	138940810	138942065	chr5	138942089	138942868	17	1.062722e-64	8.8e-05
chr5	139680755	139681837	chr5	139681891	139682804	11	4.4753e-45	8.8e-05
chr5	143548265	143549168	chr5	143549616	143550616	6	8.394718e-26	8.8e-05
chr5	145582684	145584492	chr5	145584591	145585291	10	2.209158e-40	8.8e-05
chr5	148928775	148929805	chr5	148929817	148931058	8	5.549731e-30	8.8e-05
chr5	151152511	151153174	chr5	151153199	151154645	7	7.216374e-26	8.8e-05
chr5	154320265	154320914	chr5	154320921	154322562	12	8.447155e-50	8.8e-05
chr5	157284215	157285635	chr5	157285642	157286527	24	3.410849e-90	8.8e-05
chr5	158634914	158635362	chr5	158635376	158637302	10	4.627406e-37	8.8e-05
chr5	162932626	162933455	chr5	162933801	162935193	17	5.152521e-60	8.8e-05
chr5	172752787	172753984	chr5	172753992	172754845	15	8.518945e-56	8.8e-05
chr5	174905004	174905801	chr5	174906218	174907213	6	2.400449e-23	8.8e-05
chr5	176448367	176448670	chr5	176448948	176451324	6	3.459582e-25	8.8e-05
chr5	176979754	176980534	chr5	176980564	176981918	12	1.274914e-47	8.8e-05
